time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/clip_range,train/value_loss,train/loss,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
0,878,44,132,0.2,0.0020541392150335014,0.0008849839796312153,0.0,0.0,-1.41685214316567e-07,0.0,0.0,430,0.0003,20.333333333333332,261.6666666666667
0,880,45,135,0.2,0.0019374491414055229,0.0008214024128392339,0.0,0.0,-8.12113299275552e-08,0.0,0.0,440,0.0003,20.333333333333332,261.6666666666667
0,882,46,138,0.2,0.001821214973460883,0.0007784744375385344,0.0,0.0,-8.096297889892413e-08,0.0,-1.1920928955078125e-07,450,0.0003,20.333333333333332,261.6666666666667
0,883,47,141,0.2,0.0017152506799902767,0.0007296676631085575,0.0,0.0,1.2665987370041876e-08,0.0,1.1920928955078125e-07,460,0.0003,20.333333333333332,261.6666666666667
0,885,48,144,0.2,0.0016138877894263715,0.0006883113528601825,0.0,0.0,-2.4338561743775243e-08,0.0,0.0,470,0.0003,20.333333333333332,261.6666666666667
0,887,49,147,0.2,0.0015194128965958953,0.0006471124361269176,0.0,0.0,-6.637225595795826e-08,0.0,0.0,480,0.0003,20.333333333333332,261.6666666666667
0,889,50,150,0.2,0.0014300931914476677,0.0006098109297454357,0.0,0.0,1.8626452047421082e-10,0.0,0.0,490,0.0003,20.333333333333332,261.6666666666667
0,890,51,153,0.2,0.0013463610637700185,0.0005741448258049786,0.0,0.0,-6.581346312373171e-08,0.0,0.0,500,0.0003,20.333333333333332,261.6666666666667
0,892,52,156,0.2,0.0012674321042140946,0.0005412757163867354,0.0,0.0,4.8428759669150164e-09,0.0,0.0,510,0.0003,20.333333333333332,261.6666666666667
0,899,53,159,0.2,0.0011932812805753202,0.000509943813085556,0.0,0.0,1.632918937843897e-08,0.0,0.0,520,0.0003,20.333333333333332,261.6666666666667
0,906,54,162,0.2,0.982044792175293,0.355665385723114,-0.6928457736968994,8.0148384e-05,-0.002887231908016474,0.0,0.0,530,0.0003,20.333333333333332,261.6666666666667
0,907,55,165,0.2,0.6157309651374817,0.2728661000728607,-0.6485394477844239,0.000106891,-0.0022047878010198474,0.0,-133.3174285888672,540,0.0003,20.333333333333332,261.6666666666667
0,909,56,168,0.2,0.0031839108443818985,0.00030242622597143054,0.0,0.0,1.2417634920325326e-09,0.0,0.0,550,0.0003,20.333333333333332,261.6666666666667
0,911,57,171,0.2,0.0011643963516689837,0.0009030505898408592,0.0,0.0,-1.4106433496863246e-07,0.0,0.0,560,0.0003,20.333333333333332,261.6666666666667
0,913,58,174,0.2,0.000978754009702243,0.00017257133731618524,0.0,0.0,2.9802321677152576e-08,0.0,0.0,570,0.0003,20.333333333333332,261.6666666666667
0,914,59,177,0.2,0.0007296340889297425,0.000396380404708907,0.0,0.0,-1.456588577752882e-07,0.0,0.0,580,0.0003,20.333333333333332,261.6666666666667
0,916,60,180,0.2,0.0007184567890362814,0.0002379395009484142,0.0,0.0,3.7252904094842163e-10,0.0,0.0,590,0.0003,20.333333333333332,261.6666666666667
0,918,61,183,0.2,0.0006468218271038495,0.0002852596517186612,0.0,0.0,-1.5875945820198466e-07,0.0,0.0,600,0.0003,20.333333333333332,261.6666666666667
0,920,62,186,0.2,0.0006204676770721562,0.00023892159515526146,0.0,0.0,-8.984158625935378e-08,0.0,0.0,610,0.0003,20.333333333333332,261.6666666666667
0,922,63,189,0.2,0.0005785750152426771,0.00024059209681581706,0.0,0.0,-2.3748725652694702e-07,0.0,0.0,620,0.0003,20.333333333333332,261.6666666666667
0,923,64,192,0.2,0.0005481041662278585,0.0002206283388659358,0.0,0.0,1.837809904259302e-08,0.0,-1.1920928955078125e-07,630,0.0003,20.333333333333332,261.6666666666667
0,925,65,195,0.2,0.0005151773279067129,0.00021231622667983174,0.0,0.0,1.1300047475515385e-08,0.0,0.0,640,0.0003,20.333333333333332,261.6666666666667
0,927,66,198,0.2,0.0004862522924668156,0.00019914768927264959,0.0,0.0,-7.97212152292559e-08,0.0,0.0,650,0.0003,20.333333333333332,261.6666666666667
0,929,67,201,0.2,0.0004579721760819666,0.0001893518929136917,0.0,0.0,-7.69893368612884e-08,0.0,0.0,660,0.0003,20.333333333333332,261.6666666666667
0,930,68,204,0.2,0.0004318114079069346,0.00017886741261463612,0.0,0.0,-1.341104564289708e-07,0.0,0.0,670,0.0003,20.333333333333332,261.6666666666667
0,937,69,207,0.2,0.00040691388421691953,0.00016970554133877158,0.0,0.0,1.3659398945264911e-08,0.0,0.0,680,0.0003,20.333333333333332,261.6666666666667
0,939,70,210,0.2,0.000383562124625314,-0.049069780856370926,-0.6484810411930084,0.003250162,-0.021087204975385986,0.0,0.0,690,0.0003,20.333333333333332,261.6666666666667
